rank,atomic_skill,hours,seconds,annotations,episodes,xperience_hours,egoverse_hours,example_labels
1,fold,906.101322,3261964.761,102189,54569,661.651884,244.449438,Fold paper strip | Fold the skirt | fold black t-shirt | fold white t-shirt | Fold paper star
2,pick,563.337939,2028016.581,263765,98277,212.120571,351.217368,Pick up the pen from the center of the board. | Pick up the stationery from the center of the board. | Pick up the credit card from the storage box. | Pick up the book from the center of the board. | Pick up the earbud from the center of the board.
3,place,365.017310,1314062.315,285316,121126,57.485930,307.531379,Place the pen in the storage box. | Place the stationery in the storage box. | Place the credit card in the storage box. | Place puzzle piece | Place the book in the student bag.
4,wipe,273.465448,984475.612,19114,11117,226.452909,47.012539,Wipe shelf surface | wipe counter with cloth | Wipe shelf | wipe counter with paper towel | wipe shoe with cloth
5,cut,218.912985,788086.745,53246,24550,84.427764,134.485221,Cut cardboard | Cut newspaper | Cut cardboard strip | Cut cardboard piece | Cut cardboard shape
6,document,191.166624,688199.846,24,11,191.166624,0.000000,Documenting sorted buttons | Document count on notepad | Documenting buttons on table | Documenting buttons with phone | Document quantity on paper
7,scrub,185.530596,667910.147,64075,44391,1.216680,184.313916,scrub white plate with sponge | scrub white bowl with sponge | scrub pot with sponge | scrub plate with sponge | scrub plastic container with sponge
8,adjust,162.099764,583559.151,74007,35620,31.105084,130.994680,adjust | Adjust the student bag at the center of the board. | Adjust the photo frame at the center of the board. | Adjust the plastic bag at the center of the board. | Adjusting puzzle piece
9,manipulate,138.372759,498141.933,25212,6060,135.370714,3.002045,Manipulate paper strip | Manipulate paper star | Manipulate puzzle piece | Manipulate puzzle pieces | Manipulate origami star
10,rinse,127.186732,457872.233,59993,43841,4.657763,122.528968,rinse white plate | rinse white bowl | rinse hands in sink | rinse white plate under faucet | rinse plastic container
11,sort,115.536567,415931.641,22408,7601,91.137702,24.398865,Sort puzzle pieces | Sort beads | Sort origami stars | Sort paper stars | Sort beads by color
12,stir,113.964842,410273.432,25974,20679,1.635516,112.329326,stir food in pan | stir food in pot | stir vegetables in pan | stir onions in pan | stir sauce in pan
13,move,104.821307,377356.706,62661,30332,21.928275,82.893032,Move the storage box to the center of the board. | Move the card holder to the center of the board. | Move the whiteboard to the center of the board. | Move the photo frame to the center of the board. | move the towel to the center of the board
14,put,103.121489,371237.359,69839,20885,0.913645,102.207843,Put down the whiteboard marker at the center of the board. | put green peppers in plastic bag | Put the cup on the saucer | Put down the whiteboard on the whiteboard stand. | Put the white cup on the blue saucer
15,peel,90.891569,327209.648,20996,13737,2.442735,88.448834,peel potato with knife | peel label from roll | peel onion skin | peel potato with peeler | peel garlic clove
16,remove,76.547458,275570.848,31829,16605,4.228094,72.319364,Remove the credit card from the card holder. | Remove the plug from the socket. | Remove the phone case from the phone. | Remove the battery cover from the remote control. | remove stem from grape leaf
17,hold,69.292494,249452.979,22155,11376,52.913662,16.378832,Hold smartphone | Hold paper strip | Hold the whiteboard at the center of the board. | Hold the whiteboard on the whiteboard stand. | Hold cardboard piece
18,scoop,61.406438,221063.176,21491,10630,0.370651,61.035786,Scoop the fake candies into the storage box. | scoop salt into tube | scoop filling onto leaf | scoop powder with spoon | scoop seeds with spoon
19,insert,61.140950,220107.419,25777,11496,1.354296,59.786654,Insert the credit card into the card holder. | Insert the left earbud into the left side groove of the charging case. | Insert the right earbud into the right side groove of the charging case. | Insert the whiteboard marker without the cap into the pen cap. | Insert the plug into the socket.
20,slice,59.164660,212992.777,10663,7605,0.235205,58.929455,slice onion on cutting board | slice onion | slice tomato on cutting board | slice red onion | slice onion on board
21,open,55.293698,199057.314,32806,24724,2.985063,52.308636,Open the card holder at the center of the board. | open plastic bag | Open the charging case. | Open the drawer in the storage box. | Open the pen cap from the pen.
22,roll,54.968433,197886.361,15864,9372,5.952638,49.015795,roll dough with rolling pin | roll the grape leaf | Roll paper strip | roll dough into ball | Roll the tie at the center of the board.
23,pour,52.188675,187879.229,22370,17176,0.586603,51.602072,pour oil into pan | pour oil into pot | pour water into pot | pour seeds into small container | pour milk into pot
24,iron,48.187459,173474.854,12510,9043,0.000000,48.187459,iron shirt | iron white shirt | iron t-shirt | iron shirt sleeve | iron white t-shirt
25,apply,47.755773,171920.782,25035,15114,1.107458,46.648315,apply soap to sponge | apply label to can | apply glue to cardboard edge | apply glue to box flap | apply glue to paper edge
26,close,44.523854,160285.873,24626,17872,0.509706,44.014148,Close the pen cap on the pen. | Close the card holder at the center of the board. | Close the drawer in the storage box. | Close the charging case. | close box lid
27,write,42.213099,151967.156,4063,2256,8.367747,33.845352,Write a sentence on the whiteboard. | Write on paper | Write number on cardboard | Write on cardboard | Write on cardboard piece
28,continue,38.706743,139344.273,7343,6978,2.291703,36.415040,continue kneading dough | continue chopping onion | continue stirring onions | continue stirring sauce | continue stirring vegetables
29,clean,38.290902,137847.248,8155,4531,0.918400,37.372502,clean egg with brush | clean shoe with brush | clean sink drain | clean spoon with cloth | clean mushroom with brush
30,fill,37.824937,136169.773,11146,7068,0.338125,37.486812,fill pot with water | fill kettle with water | fill bag with peppers | fill plastic bag with snacks | fill glass with water
